"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Primula latifola",9.937355,46.478408,-2.83494782447815,6.89885425567627,30.1385040283203,584.478759765625,9.14099979400635,-13.7495002746582,22.8904991149902,4.37383317947388,-9.43445873260498,4.41174983978271,-9.43445873260498,935,99,55,16.8926982879639,290,191,282,191
"Primula latifola",9.938242,46.478663,-2.83494782447815,6.89885425567627,30.1385040283203,584.478759765625,9.14099979400635,-13.7495002746582,22.8904991149902,4.37383317947388,-9.43445873260498,4.41174983978271,-9.43445873260498,935,99,55,16.8926982879639,290,191,282,191
"Primula latifola",10.170922,46.054764,4.05569791793823,9.19393730163574,34.4891204833984,649.180480957031,18.0900001525879,-8.56750011444092,26.6575012207031,12.1405830383301,-3.67041683197021,12.1405830383301,-3.67041683197021,523,64,18,39.3580322265625,185,68,185,68
"Primula latifola",1.977495,42.56516,2.90894794464111,8.75610446929932,32.8735046386719,645.086975097656,18.5292491912842,-8.10649967193604,26.6357498168945,0.146916776895523,11.3608331680298,11.3608331680298,-4.13845825195312,1407,155,68,22.4500026702881,440,250,250,383
"Primula latifola",2.118717,42.442892,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",7.344343,44.17318,8.08464622497559,7.0306248664856,29.2254695892334,630.5703125,21.4002494812012,-2.65625,24.0564994812012,8.79220867156982,16.1186676025391,16.1186676025391,0.861208319664001,928,117,36,26.479513168335,291,155,155,225
"Primula latifola",6.87054,45.17914,1.09562504291534,6.84033346176147,29.1192646026611,610.104187011719,14.5459995269775,-8.94474983215332,23.4907493591309,-1.21850001811981,8.74045848846436,9.03724956512451,-5.44604158401489,1350,142,72,18.6957092285156,400,251,251,365
"Primula latifola",2.308041,42.424731,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.152698,42.396741,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",2.4312,42.434442,6.74911451339722,8.50631237030029,34.7118492126465,583.720764160156,20.7115001678467,-3.79399991035461,24.505500793457,4.10124969482422,14.3798751831055,14.3798751831055,0.402000039815903,1151,127,58,19.9468593597412,349,225,225,292
"Primula latifola",2.106106,42.384849,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",6.719759,45.269504,1.46935415267944,7.13100004196167,29.7211685180664,617.824829101562,15.1319999694824,-8.86100006103516,23.9930000305176,-1.00370836257935,9.42570877075195,9.42570877075195,-5.32645845413208,1356,144,75,17.9965515136719,406,257,257,381
"Primula latifola",6.719983,45.26981,1.46935415267944,7.13100004196167,29.7211685180664,617.824829101562,15.1319999694824,-8.86100006103516,23.9930000305176,-1.00370836257935,9.42570877075195,9.42570877075195,-5.32645845413208,1356,144,75,17.9965515136719,406,257,257,381
"Primula latifola",9.711211,46.395818,-1.19239580631256,7.87841653823853,32.3984680175781,600.997009277344,11.4965000152588,-12.8207502365112,24.3172492980957,6.22837495803833,-8.07779121398926,6.22837495803833,-8.07779121398926,1023,110,53,20.9054012298584,323,191,323,191
"Primula latifola",6.610451,44.964527,3.70397901535034,8.18245792388916,32.3442878723145,632.887939453125,18.195499420166,-7.10249996185303,25.2980003356934,0.808666586875916,11.7018327713013,11.7963333129883,-3.33308339118958,1277,139,66,19.7782554626465,396,238,241,356
"Primula latifola",10.020318,46.40944,-1.15444791316986,7.99010419845581,32.0829734802246,618.237365722656,11.9527502059937,-12.9517498016357,24.9044990539551,6.46495819091797,-7.93249988555908,6.46495819091797,-8.32937526702881,771,86,40,22.9571361541748,253,143,253,143
"Primula latifola",10.098602,46.323474,3.89255213737488,9.6080207824707,35.6397132873535,646.033325195312,17.9610004425049,-8.9977502822876,26.9587516784668,11.9495830535889,-2.88366675376892,11.9495830535889,-3.78666687011719,674,80,27,34.656551361084,235,99,235,99
"Primula latifola",6.606077,45.121564,0.983333349227905,6.89254188537598,28.7650680541992,623.2978515625,14.8979997634888,-9.06350040435791,23.9615001678467,-4.36516666412354,8.823166847229,9.13508319854736,-5.66187524795532,1397,153,72,20.4156837463379,430,255,257,398
"Primula latifola",6.38696,45.051102,0.964020848274231,7.13179159164429,29.3028125762939,628.709655761719,15.0377502441406,-9.30049991607666,24.338249206543,-4.52304172515869,8.82695865631104,9.11062526702881,-5.86779165267944,1431,158,74,20.2372169494629,442,263,265,408
"Primula latifola",7.158272,44.627043,3.74930191040039,7.35893726348877,31.092679977417,605.859680175781,17.1609992980957,-6.50675010681152,23.6677494049072,1.04683339595795,11.4183330535889,11.5712919235229,-2.87250018119812,1100,119,52,20.4820728302002,331,198,207,287
"Primula latifola",9.965175,46.412294,-2.83494782447815,6.89885425567627,30.1385040283203,584.478759765625,9.14099979400635,-13.7495002746582,22.8904991149902,4.37383317947388,-9.43445873260498,4.41174983978271,-9.43445873260498,935,99,55,16.8926982879639,290,191,282,191
"Primula latifola",7.231635,44.379332,7.64017724990845,7.48243761062622,31.194694519043,617.07421875,20.9312496185303,-3.0550000667572,23.9862499237061,8.39387512207031,15.4813327789307,15.4813327789307,0.621291697025299,980,118,45,22.814432144165,297,182,182,232
"Primula latifola",7.313024,44.195912,5.12759399414062,6.8102707862854,28.926025390625,621.982666015625,18.4652500152588,-5.07849979400635,23.5437507629395,2.20295834541321,13.0627498626709,13.090916633606,-1.76579165458679,984,116,38,25.7893753051758,308,158,174,257
"Primula latifola",2.255041,42.355468,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.25512,42.355608,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",7.215508,44.184658,5.12759399414062,6.8102707862854,28.926025390625,621.982666015625,18.4652500152588,-5.07849979400635,23.5437507629395,2.20295834541321,13.0627498626709,13.090916633606,-1.76579165458679,984,116,38,25.7893753051758,308,158,174,257
"Primula latifola",9.87515,46.645174,-0.898531198501587,8.50810432434082,33.4625511169434,621.686096191406,12.3739995956421,-13.0517501831055,25.4257507324219,6.69549989700317,-7.72208309173584,6.69549989700317,-8.20220851898193,1008,113,55,22.0268936157227,331,191,331,193
"Primula latifola",6.75348,45.377786,0.757916629314423,6.65925025939941,28.5988845825195,608.961547851562,13.9657497406006,-9.31925010681152,23.2849998474121,-4.48266696929932,8.63512516021729,8.63512516021729,-5.8535418510437,1473,156,83,17.9972267150879,443,278,278,419
"Primula latifola",7.052211,45.38865,-1.44742715358734,5.80077075958252,25.9382743835449,600.772521972656,11.3842496871948,-10.9794998168945,22.3637504577637,-6.26395845413208,6.48716640472412,6.48716640472412,-7.94687509536743,1271,133,71,17.8108940124512,373,240,240,347
"Primula latifola",9.95698,46.7209,-1.1223646402359,7.55814599990845,31.6827011108398,596.368530273438,11.4209995269775,-12.4347496032715,23.855749130249,6.17749977111816,-7.69933319091797,6.20191669464111,-7.97183322906494,1217,137,74,19.4901256561279,395,248,376,252
